Purchase date,Purchase time,order type,purchase type,order ID,brand name,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
10/2/2021,10/2/2021 18:50,배달,CREDIT,2XS780,,다이어트랩,PAY,"더블 단백질 1 (닭가슴살  닭가슴살 스테이크) KIT, 더블 단백질 3 (소고기  닭가슴살) KIT","20,000","17,000","20,000",0,0,"2,550",510,"6,000","1,000","5,000","2,727","3,000","5,277","3,783",378,"4,161",0,0,0,"12,839"
10/2/2021,10/2/2021 19:22,배달,CREDIT,1NLNG0,,다이어트랩,PAY,"단호박 (120g)x10, 대추 토마토x4","53,000","50,000","53,000",0,0,"7,500","1,500","6,000","1,000","5,000","2,727","3,000","10,227","4,773",477,"5,250",0,0,0,"44,750"
10/2/2021,10/2/2021 19:24,배달,BANK,12EHG0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
10/2/2021,10/2/2021 22:43,배달,CREDIT,0MWR80,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, OP CHOCO (ICE) 초코 프로틴, 직접 구운계란 (모두가 아는 찜질방 그 맛)","18,900","15,900","18,900",0,0,"2,385",477,"6,000","1,000","5,000","2,727","3,000","5,112","3,750",375,"4,125",0,0,0,"11,775"
10/2/2021,10/2/2021 23:10,배달,CHECK,0AH0G0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), 벌크업 소고기 단백질 KIT, 애플 유자티","27,000","24,000","27,000",0,0,"3,600",720,"6,000","1,000","5,000","2,727","3,000","6,327","3,993",399,"4,392",0,0,0,"19,608"
10/2/2021,10/2/2021 23:10,배달,CHECK,0AH0G0,,다이어트랩,CANCEL,"REAL VEGETARIAN KIT (채식), 벌크업 소고기 단백질 KIT, 애플 유자티","-27,000","-24,000","-27,000",0,0,"-3,600",-720,"-6,000","-1,000","-5,000","-2,727","-3,000","-6,327","-3,993",-399,"-4,392",0,0,0,"-19,608"
10/2/2021,10/2/2021 23:11,배달,CHECK,1G5500,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), 벌크업 소고기 단백질 KIT, 애플 유자티","27,000","24,000","27,000",0,0,"3,600",720,"6,000","1,000","5,000","2,727","3,000","6,327","3,993",399,"4,392",0,0,0,"19,608"
10/3/2021,10/3/2021 12:01,배달,BANK,0S26G0,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 수제 디톡스 파인애플 티 (ICE)","33,400","30,400","33,400",0,0,"4,560",912,"6,000","1,000","5,000","2,727","3,000","7,287","4,185",418,"4,603",0,0,0,"25,797"
10/3/2021,10/3/2021 12:01,배달,BANK,0S26G0,,다이어트랩,CANCEL,"(3KIT 선택) 하루 세끼 다이어트 식단, 수제 디톡스 파인애플 티 (ICE)","-33,400","-30,400","-33,400",0,0,"-4,560",-912,"-6,000","-1,000","-5,000","-2,727","-3,000","-7,287","-4,185",-418,"-4,603",0,0,0,"-25,797"
10/3/2021,10/3/2021 12:17,배달,CREDIT,1EM700,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, 핸드드립 아메리카노","20,500","17,500","20,500",0,0,"2,625",525,"6,000","1,000","5,000","2,727","3,000","5,352","3,798",380,"4,178",0,0,0,"13,322"
