거래일,거래일시,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,정산금액
,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,
2021-04-09,2021-04-09 23:19,BANK,0M8680,,다이어트랩,PAY,(3키트 선택) 하루세끼 다이어트 식단 도시락,"21,000","21,000","21,000",0,0,"3,150",630,"6,000","1,000","5,000",0,0,"3,150","6,630",663,"7,293","13,707"
2021-04-10,2021-04-10 12:43,CHECK,0NV980,,다이어트랩,CANCEL,"GO단백 닭가슴살 스테이크 키트, 벌크업 소고기 단백질 키트","-18,400","-18,400","-18,400",0,0,"-2,760",-552,"-6,000","-1,000","-5,000",0,0,"-2,760","-6,552",-655,"-7,207","-11,193"
2021-04-10,2021-04-10 17:49,CREDIT,1H9BR0,,다이어트랩,PAY,(3키트 선택) 하루세끼 다이어트 식단 도시락,"26,000","23,000","26,000",0,0,"3,450",690,"6,000","1,000","5,000","2,727","3,000","6,177","3,963",396,"4,359","18,641"
2021-04-11,2021-04-11 10:29,CHECK,1894G0,,다이어트랩,PAY,"초코 프로틴 아이스, 대추 토마토x2, 벌크업 소고기 단백질 키트","26,000","23,000","26,000",0,0,"3,450",690,"6,000","1,000","5,000","2,727","3,000","6,177","3,963",396,"4,359","18,641"
2021-04-11,2021-04-11 12:33,BANK,0Y7P00,,다이어트랩,PAY,"벌크업 소고기 스테이크 키트, 벌크업 소고기 스테이크 키트","26,500","20,500","26,500",0,0,"3,075",615,"6,000","1,000","5,000","2,727","3,000","5,802","3,888",389,"4,277","16,223"
2021-04-11,2021-04-11 15:39,BANK,29GMR0,,다이어트랩,PAY,(3키트 선택) 하루세끼 다이어트 식단 도시락,"23,500","20,500","23,500",0,0,"3,075",615,"6,000","1,000","5,000","2,727","3,000","5,802","3,888",389,"4,277","16,223"
2021-04-11,2021-04-11 20:30,CHECK,1127R0,,다이어트랩,PAY,"연어 스테이크 키트, 대추 토마토","25,200","22,200","25,200",0,0,"3,330",666,"6,000","1,000","5,000","2,727","3,000","6,057","3,939",394,"4,333","17,867"
2021-04-11,2021-04-11 23:33,CREDIT,27T2R0,,다이어트랩,PAY,"고구마 (180g), 더블 단백질(소고기닭가슴살) 키트, 연어 스테이크 키트","25,500","22,500","25,500",0,0,"3,375",675,"6,000","1,000","5,000","2,727","3,000","6,102","3,948",395,"4,343","18,157"
2021-04-12,2021-04-12 13:46,BANK,22HXG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"25,900","22,900","25,900",0,0,"3,435",687,"6,000","1,000","5,000","2,727","3,000","6,162","3,960",396,"4,356","18,544"
2021-04-12,2021-04-12 15:08,CHECK,1MBBG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"34,900","28,900","33,900","1,000",0,"4,335",867,"6,000","1,000","5,000","2,727","3,000","7,062","4,140",414,"4,554","24,346"
