거래일,거래일시,주문유형,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
2021-07-02,2021-07-02 22:00,배달,CREDIT,1UVCG0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 카모마일 오렌지, 수제 디톡스 파인애플 티 (ICE), OP VANI'BERRY (ICE) 바닐라  라즈베리 프로틴","36,500","33,500","36,500",0,0,"5,025","1,005","6,000","1,000","5,000","2,727","3,000","7,752","4,278",428,"4,706",0,0,0,"28,794"
2021-07-03,2021-07-03 10:05,배달,CREDIT,01L880,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식)x2, 모듬 야채 100g, 브로콜리 50g","31,000","28,000","31,000",0,0,"4,200",840,"6,000","1,000","5,000","2,727","3,000","6,927","4,113",411,"4,524",0,0,0,"23,476"
2021-07-03,2021-07-03 10:23,배달,CREDIT,202T00,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 몰디브","36,100","33,100","36,100",0,0,"4,965",993,"6,000","1,000","5,000","2,727","3,000","7,692","4,266",426,"4,692",0,0,0,"28,408"
2021-07-03,2021-07-03 12:08,배달,CHECK,21ER80,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 모듬 야채 100g","27,400","24,400","27,400",0,0,"3,660",732,"6,000","1,000","5,000","2,727","3,000","6,387","4,005",400,"4,405",0,0,0,"19,995"
2021-07-03,2021-07-03 15:33,배달,CREDIT,1EGR00,,다이어트랩,PAY,"벌크업 소고기 단백질 KITx2, 홀그린빈 50g","21,200","18,200","21,200",0,0,"2,730",546,"6,000","1,000","5,000","2,727","3,000","5,457","3,819",382,"4,201",0,0,0,"13,999"
2021-07-03,2021-07-03 18:56,배달,CREDIT,28YGR0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 핸드드립 아메리카노","24,000","18,000","24,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
2021-07-03,2021-07-03 22:59,배달,CREDIT,2MKFG0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 벌크업 소고기 스테이크 KIT","19,500","16,500","19,500",0,0,"2,475",495,"6,000","1,000","5,000","2,727","3,000","5,202","3,768",377,"4,145",0,0,0,"12,355"
2021-07-04,2021-07-04 10:05,배달,CREDIT,2EE900,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), REAL VEGETARIAN KIT (채식), 모듬 야채 100g, 브로콜리 50g","26,500","23,500","26,500",0,0,"3,525",705,"6,000","1,000","5,000","2,727","3,000","6,252","3,978",398,"4,376",0,0,0,"19,124"
2021-07-04,2021-07-04 11:07,배달,CHECK,0CDR00,,다이어트랩,PAY,"벌크업 소고기 스테이크 KIT, REAL VEGETARIAN KIT (채식)","25,000","22,000","25,000",0,0,"3,300",660,"6,000","1,000","5,000","2,727","3,000","6,027","3,933",393,"4,326",0,0,0,"17,674"
2021-07-04,2021-07-04 11:29,배달,CREDIT,16EP80,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 몰디브, 오미자 티 (수제청)","38,900","35,900","38,900",0,0,"5,385","1,077","6,000","1,000","5,000","2,727","3,000","8,112","4,350",435,"4,785",0,0,0,"31,115"
